n	n*n	#proc	run	time [s]	distance
2048	4194304	1	8	1.22104	6516.64
2048	4194304	1	9	1.22129	6516.64
2048	4194304	1	10	1.22174	6516.64
2048	4194304	1	11	1.22268	6516.64
2048	4194304	1	12	1.22144	6516.64
2048	4194304	1	13	1.22151	6516.64
2048	4194304	1	14	1.22168	6516.64
2048	4194304	1	15	1.22292	6516.64
2048	4194304	1	16	1.2213	6516.64
2048	4194304	1	17	1.22178	6516.64
2048	4194304	1	18	1.22022	6516.64
2048	4194304	1	19	1.22199	6516.64
2048	4194304	2	0	0.786517	6515.71
2048	4194304	2	1	0.78592	6514.74
2048	4194304	2	2	0.785953	6516.75
2048	4194304	2	3	0.784876	6513.57
2048	4194304	2	4	0.785879	6515.75
2048	4194304	2	5	0.785246	6518.75
2048	4194304	2	6	0.786721	6518.57
2048	4194304	2	7	0.789013	6516.95
2048	4194304	2	8	0.789089	6518.84
2048	4194304	2	9	0.787066	6516.69
2048	4194304	2	10	0.796878	6514.51
2048	4194304	2	11	0.782876	6511.73
2048	4194304	2	12	0.785341	6515.51
2048	4194304	2	13	0.789196	6518.65
2048	4194304	2	14	0.795089	6515.71
2048	4194304	2	15	0.791367	6522.04
2048	4194304	2	16	0.797384	6516.76
2048	4194304	2	17	0.788473	6518.69
2048	4194304	2	18	0.788432	6517.79
2048	4194304	2	19	0.788489	6516.76
2048	4194304	3	0	0.610972	6518.3
2048	4194304	3	1	0.612805	6518.49
2048	4194304	3	2	0.611933	6513.93
2048	4194304	3	3	0.611102	6516.73
2048	4194304	3	4	0.623071	6518.73
2048	4194304	3	5	0.612122	6515.21
2048	4194304	3	6	0.614372	6517.67
2048	4194304	3	7	0.62433	6517.41
2048	4194304	3	8	0.620568	6513.77
2048	4194304	3	9	0.61438	6520.39
2048	4194304	3	10	0.614684	6516.02
2048	4194304	3	11	0.614926	6519.79
2048	4194304	3	12	0.624221	6518.74
2048	4194304	3	13	0.618965	6512.5
2048	4194304	3	14	0.624172	6517.63
2048	4194304	3	15	0.612276	6515.76
2048	4194304	3	16	0.62238	6517.51
