n	n*n	#proc	run	time [s]	distance	#visited	time/node
256	65536	1	10	0.006049	407.154	27474	2.20172e-07
256	65536	1	11	0.006048	407.154	27474	2.20135e-07
256	65536	1	12	0.006048	407.154	27474	2.20135e-07
256	65536	1	13	0.006042	407.154	27474	2.19917e-07
256	65536	1	14	0.006026	407.154	27474	2.19335e-07
256	65536	1	15	0.006031	407.154	27474	2.19517e-07
256	65536	1	16	0.006028	407.154	27474	2.19407e-07
256	65536	1	17	0.006029	407.154	27474	2.19444e-07
256	65536	1	18	0.006025	407.154	27474	2.19298e-07
256	65536	1	19	0.006018	407.154	27474	2.19043e-07
256	65536	1	20	0.006021	407.154	27474	2.19153e-07
256	65536	1	21	0.006024	407.154	27474	2.19262e-07
256	65536	1	22	0.00603	407.154	27474	2.1948e-07
256	65536	1	23	0.006029	407.154	27474	2.19444e-07
256	65536	1	24	0.006015	407.154	27474	2.18934e-07
256	65536	1	25	0.006027	407.154	27474	2.19371e-07
256	65536	1	26	0.006025	407.154	27474	2.19298e-07
256	65536	1	27	0.006032	407.154	27474	2.19553e-07
256	65536	1	28	0.006024	407.154	27474	2.19262e-07
256	65536	1	29	0.006028	407.154	27474	2.19407e-07
256	65536	1	30	0.006027	407.154	27474	2.19371e-07
256	65536	1	31	0.006025	407.154	27474	2.19298e-07
256	65536	1	32	0.006025	407.154	27474	2.19298e-07
256	65536	1	33	0.006029	407.154	27474	2.19444e-07
256	65536	1	34	0.00603	407.154	27474	2.1948e-07
256	65536	1	35	0.006023	407.154	27474	2.19225e-07
256	65536	1	36	0.006033	407.154	27474	2.19589e-07
256	65536	1	37	0.006029	407.154	27474	2.19444e-07
256	65536	1	38	0.006021	407.154	27474	2.19153e-07
256	65536	1	39	0.006026	407.154	27474	2.19335e-07
256	65536	1	40	0.006033	407.154	27474	2.19589e-07
256	65536	1	41	0.006027	407.154	27474	2.19371e-07
256	65536	1	42	0.006022	407.154	27474	2.19189e-07
256	65536	1	43	0.006025	407.154	27474	2.19298e-07
256	65536	1	44	0.006027	407.154	27474	2.19371e-07
256	65536	1	45	0.006034	407.154	27474	2.19626e-07
256	65536	1	46	0.006032	407.154	27474	2.19553e-07
256	65536	1	47	0.006029	407.154	27474	2.19444e-07
256	65536	1	48	0.006034	407.154	27474	2.19626e-07
256	65536	1	49	0.006019	407.154	27474	2.1908e-07
256	65536	2	0	0.005404	406.942	27123	1.9924e-07
256	65536	2	1	0.004852	406.896	26996	1.7973e-07
256	65536	2	2	0.004572	406.968	25922	1.76375e-07
256	65536	2	3	0.00486	408.08	27547	1.76426e-07
256	65536	2	4	0.004706	407.59	26694	1.76294e-07
256	65536	2	5	0.004688	406.758	26015	1.80204e-07
256	65536	2	6	0.004639	406.593	26557	1.74681e-07
256	65536	2	7	0.004603	405.985	25501	1.80503e-07
256	65536	2	8	0.004781	406.116	27629	1.73043e-07
256	65536	2	9	0.004538	405.64	25475	1.78135e-07
256	65536	2	10	0.0048	406.899	27360	1.75439e-07
256	65536	2	11	0.004663	406.894	26021	1.79201e-07
256	65536	2	12	0.004542	405.143	25324	1.79356e-07
256	65536	2	13	0.004488	406.366	25451	1.76339e-07
256	65536	2	14	0.004316	404.455	24739	1.74461e-07
256	65536	2	15	0.004623	406.025	25600	1.80586e-07
256	65536	2	16	0.004815	407.354	27189	1.77094e-07
256	65536	2	17	0.004651	407.074	26676	1.74351e-07
256	65536	2	18	0.004701	406.588	26575	1.76896e-07
256	65536	2	19	0.004672	407.011	26261	1.77906e-07
256	65536	2	20	0.004805	407.951	27285	1.76104e-07
256	65536	2	21	0.004531	407.019	26441	1.71363e-07
256	65536	2	22	0.004984	407.994	27911	1.78568e-07
256	65536	2	23	0.004679	407.069	27292	1.71442e-07
256	65536	2	24	0.004774	406.838	27291	1.74929e-07
256	65536	2	25	0.004684	406.77	24643	1.90074e-07
256	65536	2	26	0.00508	408.062	27570	1.84258e-07
